original,translation
Huari Empire,
Kiliwa,
Burmese kingdoms,
Weenhayek,
Knucati,
Hausa States,
"Tanzania, United Republic of",
Bedouins,
Emirate of the White Sheep Turks,
Q'anjob'al,
Waka Waka,
Arrernte,
Equatorial Guinea,
Togoland,
Yanda,
Thul Garrie Waja (Bindal),
Malagasy,
Charrúa,
Nothumbria,
Ngunawal,
Wailwan,
snʕickstx tmxʷúlaʔxʷ (Sinixt),
Tekrur,
Mecklenburg-Strelitz,
Nana,
Wiljali,Wiljali
Kwantlen,Kwantlen
Shakori,Shakori
Kingdom of Sind,ایالت سند
Osage,اوسیج‌ها
Kwazá,Kwazá
Min-Yue,Min-Yue
Wiradjuri,Wiradjuri
Tunica,Tunica
Tāłtān Konelīne (Tahltan),Tāłtān Konelīne (Tahltan)
Ayutthaya,Ayutthaya
Tutelo,Tutelo
Abipones,Abipones
Awaeté,Awaeté
Vilela,Vilela
Armorica,Armorica
Wanapum,Wanapum
Pallava state,Pallava state
Kingdom of Lysimachus,Kingdom of Lysimachus
Miwok,Miwok
Cheroenhaka (Nottoway),Cheroenhaka (Nottoway)
Karenggapa,Karenggapa
Akan,Akan
Indus valley civilization,تمدن دره سند
Kingfom of Italy,پادشاهی ایتالیا
Finland,فنلاند
Confederated Tribes of Warm Springs,Confederated Tribes of Warm Springs
Parma,پارما
Kaskaskia,کاسکازیکا
Catawba,Catawba
Kryvichs,Kryvichs
Miluk Coos,Miluk Coos
Cuicuilco,Cuicuilco
Crete,کرت
Giraiwurung,Giraiwurung
Tseshaht,Tseshaht
Gangulu,Gangulu
Yawanawá,Yawanawá
Bavaria,بایرن
Apalachee,Apalachee
Gamberre,Gamberre
Barkindji,Barkindji
Karuk,Karuk
Karajá do Norte,Karajá do Norte
Gandhāra,منطقه گنداره
Wuli-wuli,Wuli-wuli
Netherlands Antilles,آنتیل هلند
Cameroon,کامرون
Manahoac,Manahoac
Iñapari,Iñapari
White River-Kluane,White River-Kluane
Bora,Bora
East Germany,آلمان شرقی
Barbados,باربادوس
Cahita,Cahita
Makah,Makah
Chono,Chono
Nandtaughtacund,Nandtaughtacund
Gabalbara,Gabalbara
New South Wales (UK),نیو ساوت ولز
Saunan,Saunan
